Type,Root Function Name,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Root","cudart::contextStateManager::getRuntimeContextState","cudart::contextStateManager::getRuntimeContextState",73,0,0.55,0.00,
"Caller","cudart::contextStateManager::getRuntimeContextState","cudart::doLazyInitContextState",73,0,0.55,0.00,
"Callee","cudart::contextStateManager::getRuntimeContextState","cudart::contextStateManager::initDriverContext",71,0,0.54,0.00,
"Callee","cudart::contextStateManager::getRuntimeContextState","cudart::contextStateManager::initRuntimeContextState_nonreentrant",2,0,0.02,0.00,
"Root","cudart::contextStateManager::initDriverContext","cudart::contextStateManager::initDriverContext",71,0,0.54,0.00,
"Caller","cudart::contextStateManager::initDriverContext","cudart::contextStateManager::getRuntimeContextState",71,0,0.54,0.00,
"Callee","cudart::contextStateManager::initDriverContext","cudart::contextStateManager::initPrimaryContext",71,0,0.54,0.00,
"Root","cudart::contextStateManager::initPrimaryContext","cudart::contextStateManager::initPrimaryContext",71,0,0.54,0.00,
"Caller","cudart::contextStateManager::initPrimaryContext","cudart::contextStateManager::initDriverContext",71,0,0.54,0.00,
"Callee","cudart::contextStateManager::initPrimaryContext","[nvcuda.dll]",71,0,0.54,0.00,
"Root","cudart::contextStateManager::initRuntimeContextState_nonreentrant","cudart::contextStateManager::initRuntimeContextState_nonreentrant",2,0,0.02,0.00,
"Caller","cudart::contextStateManager::initRuntimeContextState_nonreentrant","cudart::contextStateManager::getRuntimeContextState",2,0,0.02,0.00,
"Callee","cudart::contextStateManager::initRuntimeContextState_nonreentrant","cudart::contextState::applyChanges",2,0,0.02,0.00,
"Root","cudart::cudaApiDeviceReset","cudart::cudaApiDeviceReset",22,0,0.17,0.00,
"Caller","cudart::cudaApiDeviceReset","cudaDeviceReset",22,0,0.17,0.00,
"Callee","cudart::cudaApiDeviceReset","cudart::device::resetPrimaryContext",22,0,0.17,0.00,
"Root","cudart::cudaApiDeviceSynchronize","cudart::cudaApiDeviceSynchronize","9,944",0,75.33,0.00,
"Caller","cudart::cudaApiDeviceSynchronize","cudaDeviceSynchronize","9,944",0,75.33,0.00,
"Callee","cudart::cudaApiDeviceSynchronize","[nvcuda.dll]","9,944",0,75.33,0.00,
"Root","cudart::cudaApiFree","cudart::cudaApiFree",1,0,0.01,0.00,
"Caller","cudart::cudaApiFree","cudaFree",1,0,0.01,0.00,
"Callee","cudart::cudaApiFree","[nvcuda.dll]",1,0,0.01,0.00,
"Root","cudart::cudaApiMalloc","cudart::cudaApiMalloc",75,0,0.57,0.00,
"Caller","cudart::cudaApiMalloc","cudaMalloc",75,0,0.57,0.00,
"Callee","cudart::cudaApiMalloc","cudart::doLazyInitContextState",73,0,0.55,0.00,
"Callee","cudart::cudaApiMalloc","cudart::driverHelper::mallocPtr",2,0,0.02,0.00,
"Root","cudart::cudaApiMemcpy","cudart::cudaApiMemcpy",440,0,3.33,0.00,
"Caller","cudart::cudaApiMemcpy","cudaMemcpy",440,0,3.33,0.00,
"Caller","cudart::cudaApiMemcpy","cudart::cudaApiMemcpy",440,0,3.33,0.00,
"Callee","cudart::cudaApiMemcpy","cudart::cudaApiMemcpy",440,0,3.33,0.00,
"Callee","cudart::cudaApiMemcpy","cudart::doLazyInitContextState",1,1,0.01,0.01,
"Callee","cudart::cudaApiMemcpy","cudart::driverHelper::memcpyDispatch",439,1,3.33,0.01,
"Root","cudart::cuosOnce","cudart::cuosOnce",34,0,0.26,0.00,
"Caller","cudart::cuosOnce","cudart::globalState::loadDriver",34,0,0.26,0.00,
"Callee","cudart::cuosOnce","cudart::__loadDriverInternalUtil",34,0,0.26,0.00,
"Root","cudart::device::resetPrimaryContext","cudart::device::resetPrimaryContext",22,0,0.17,0.00,
"Caller","cudart::device::resetPrimaryContext","cudart::cudaApiDeviceReset",22,0,0.17,0.00,
"Callee","cudart::device::resetPrimaryContext","[nvcuda.dll]",22,0,0.17,0.00,
"Root","cudart::doLazyInitContextState","cudart::doLazyInitContextState",74,1,0.56,0.01,
"Caller","cudart::doLazyInitContextState","cudart::cudaApiMalloc",73,0,0.55,0.00,
"Caller","cudart::doLazyInitContextState","cudart::cudaApiMemcpy",1,1,0.01,0.01,
"Callee","cudart::doLazyInitContextState","cudart::contextStateManager::getRuntimeContextState",73,0,0.55,0.00,
"Root","cudart::driverHelper::mallocPtr","cudart::driverHelper::mallocPtr",2,0,0.02,0.00,
"Caller","cudart::driverHelper::mallocPtr","cudart::cudaApiMalloc",2,0,0.02,0.00,
"Callee","cudart::driverHelper::mallocPtr","[nvcuda.dll]",2,0,0.02,0.00,
"Root","cudart::driverHelper::memcpyDispatch","cudart::driverHelper::memcpyDispatch",439,1,3.33,0.01,
"Caller","cudart::driverHelper::memcpyDispatch","cudart::cudaApiMemcpy",439,1,3.33,0.01,
"Callee","cudart::driverHelper::memcpyDispatch","[nvcuda.dll]",438,0,3.32,0.00,
"Root","cudart::globalModule::loadIntoContext","cudart::globalModule::loadIntoContext",2,0,0.02,0.00,
"Caller","cudart::globalModule::loadIntoContext","cudart::contextState::applyChanges",2,0,0.02,0.00,
"Callee","cudart::globalModule::loadIntoContext","cudart::contextState::loadCubin",2,0,0.02,0.00,
"Root","cudart::globalState::initializeDriver","cudart::globalState::initializeDriver",34,0,0.26,0.00,
"Caller","cudart::globalState::initializeDriver","cudaSetDevice",34,0,0.26,0.00,
"Callee","cudart::globalState::initializeDriver","cudart::globalState::loadDriver",34,0,0.26,0.00,
"Root","cudart::globalState::loadDriver","cudart::globalState::loadDriver",34,0,0.26,0.00,
"Caller","cudart::globalState::loadDriver","cudart::globalState::initializeDriver",34,0,0.26,0.00,
"Callee","cudart::globalState::loadDriver","cudart::cuosOnce",34,0,0.26,0.00,
"Root","cudart::globalState::loadDriverInternal","cudart::globalState::loadDriverInternal",34,0,0.26,0.00,
"Caller","cudart::globalState::loadDriverInternal","cudart::__loadDriverInternalUtil",34,0,0.26,0.00,
"Callee","cudart::globalState::loadDriverInternal","[nvcuda.dll]",21,0,0.16,0.00,
"Callee","cudart::globalState::loadDriverInternal","nvLoadSystemLibraryExA",13,0,0.10,0.00,
"Root","cudaSetDevice","cudaSetDevice",34,0,0.26,0.00,
"Caller","cudaSetDevice","derivatives::cuda_swaption",34,0,0.26,0.00,
"Callee","cudaSetDevice","cudart::globalState::initializeDriver",34,0,0.26,0.00,
"Root","derivatives::cuda_cap_floor","derivatives::cuda_cap_floor","1,673",0,12.67,0.00,
"Caller","derivatives::cuda_cap_floor","main","1,673",0,12.67,0.00,
"Callee","derivatives::cuda_cap_floor","cudaDeviceReset",10,0,0.08,0.00,
"Callee","derivatives::cuda_cap_floor","cudaDeviceSynchronize","1,411",0,10.69,0.00,
"Callee","derivatives::cuda_cap_floor","cudaMalloc",29,0,0.22,0.00,
"Callee","derivatives::cuda_cap_floor","cudaMemcpy",219,0,1.66,0.00,
"Callee","derivatives::cuda_cap_floor","rand_tools::rand01_skip_ahead",4,0,0.03,0.00,
"Root","derivatives::cuda_swaption","derivatives::cuda_swaption","8,853",0,67.06,0.00,
"Caller","derivatives::cuda_swaption","main","8,853",0,67.06,0.00,
"Callee","derivatives::cuda_swaption","cudaDeviceReset",12,0,0.09,0.00,
"Callee","derivatives::cuda_swaption","cudaDeviceSynchronize","8,533",0,64.64,0.00,
"Callee","derivatives::cuda_swaption","cudaFree",1,0,0.01,0.00,
"Callee","derivatives::cuda_swaption","cudaMalloc",46,0,0.35,0.00,
"Callee","derivatives::cuda_swaption","cudaMemcpy",222,1,1.68,0.01,
"Callee","derivatives::cuda_swaption","cudaSetDevice",34,0,0.26,0.00,
"Callee","derivatives::cuda_swaption","rand_tools::rand01_skip_ahead",5,0,0.04,0.00,
"Root","main","main","10,526",0,79.74,0.00,
"Caller","main","__scrt_common_main_seh","10,526",0,79.74,0.00,
"Callee","main","derivatives::cuda_cap_floor","1,673",0,12.67,0.00,
"Callee","main","derivatives::cuda_swaption","8,853",0,67.06,0.00,
"Root","nvDetectDisplayDriverModuleLocationW","nvDetectDisplayDriverModuleLocationW",7,0,0.05,0.00,
"Caller","nvDetectDisplayDriverModuleLocationW","nvLoadSystemLibraryExW",7,0,0.05,0.00,
"Callee","nvDetectDisplayDriverModuleLocationW","nvDetectDisplayDriverModuleRegistrationW",7,0,0.05,0.00,
"Root","nvDetectDisplayDriverModuleRegistrationW","nvDetectDisplayDriverModuleRegistrationW",7,0,0.05,0.00,
"Caller","nvDetectDisplayDriverModuleRegistrationW","nvDetectDisplayDriverModuleLocationW",7,0,0.05,0.00,
"Callee","nvDetectDisplayDriverModuleRegistrationW","`anonymous namespace'::etiGetApiFunctionDescriptorTable",2,0,0.02,0.00,
"Callee","nvDetectDisplayDriverModuleRegistrationW","nvGetDriverRegkeyW",5,0,0.04,0.00,
"Root","nvGetDriverRegkeyW","nvGetDriverRegkeyW",5,0,0.04,0.00,
"Caller","nvGetDriverRegkeyW","nvDetectDisplayDriverModuleRegistrationW",5,0,0.04,0.00,
"Callee","nvGetDriverRegkeyW","[KernelBase.dll]",2,0,0.02,0.00,
"Callee","nvGetDriverRegkeyW","[setupapi.dll]",3,0,0.02,0.00,
"Root","nvLoadLibraryFromTrustedLocationExW","nvLoadLibraryFromTrustedLocationExW",5,0,0.04,0.00,
"Caller","nvLoadLibraryFromTrustedLocationExW","nvLoadSystemLibraryExW",5,0,0.04,0.00,
"Callee","nvLoadLibraryFromTrustedLocationExW","`anonymous namespace'::etiGetApiFunctionDescriptorTable",5,0,0.04,0.00,
"Root","nvLoadSystemLibraryExA","nvLoadSystemLibraryExA",13,0,0.10,0.00,
"Caller","nvLoadSystemLibraryExA","cudart::globalState::loadDriverInternal",13,0,0.10,0.00,
"Callee","nvLoadSystemLibraryExA","nvLoadSystemLibraryExW",13,0,0.10,0.00,
"Root","nvLoadSystemLibraryExW","nvLoadSystemLibraryExW",13,0,0.10,0.00,
"Caller","nvLoadSystemLibraryExW","nvLoadSystemLibraryExA",13,0,0.10,0.00,
"Callee","nvLoadSystemLibraryExW","`anonymous namespace'::etiGetApiFunctionDescriptorTable",1,0,0.01,0.00,
"Callee","nvLoadSystemLibraryExW","nvDetectDisplayDriverModuleLocationW",7,0,0.05,0.00,
"Callee","nvLoadSystemLibraryExW","nvLoadLibraryFromTrustedLocationExW",5,0,0.04,0.00,
"Root","pow_scalar","pow_scalar",4,4,0.03,0.03,
"Caller","pow_scalar","__sse2_pow2",4,4,0.03,0.03,
"Root","rand_tools::rand01_skip_ahead","rand_tools::rand01_skip_ahead",9,0,0.07,0.00,
"Caller","rand_tools::rand01_skip_ahead","derivatives::cuda_cap_floor",4,0,0.03,0.00,
"Caller","rand_tools::rand01_skip_ahead","derivatives::cuda_swaption",5,0,0.04,0.00,
"Callee","rand_tools::rand01_skip_ahead","arma::Col<int>::Col<int>",3,2,0.02,0.02,
"Callee","rand_tools::rand01_skip_ahead","arma::eop_core<arma::eop_pow>::apply<arma::Mat<int>,arma::Mat<int> >",4,0,0.03,0.00,
"Callee","rand_tools::rand01_skip_ahead","arma::glue_times::apply<int,0,0,0,arma::Mat<int>,arma::Col<int> >",1,0,0.01,0.00,
"Callee","rand_tools::rand01_skip_ahead","arma::Mat<int>::zeros",1,1,0.01,0.01,
