Level,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,Module Name,
0,"final_project2.exe","10,540",0,100.00,0.00,"",
0,"[ntdll.dll]","10,540",0,100.00,0.00,"ntdll.dll",
1,"[kernel32.dll]","10,537",0,99.97,0.00,"kernel32.dll",
2,"__scrt_common_main_seh","10,527",0,99.88,0.00,"final_project2.exe",
3,"main","10,526",0,99.87,0.00,"final_project2.exe",
4,"derivatives::cuda_swaption","8,853",0,83.99,0.00,"final_project2.exe",
5,"cudaDeviceSynchronize","8,533",0,80.96,0.00,"final_project2.exe",
6,"cudart::cudaApiDeviceSynchronize","8,533",0,80.96,0.00,"final_project2.exe",
7,"[nvcuda.dll]","8,533",0,80.96,0.00,"nvcuda.dll",
8,"[nvcuda.dll]","8,533",0,80.96,0.00,"nvcuda.dll",
9,"[nvcuda.dll]","8,533",0,80.96,0.00,"nvcuda.dll",
10,"[nvcuda.dll]","8,533",0,80.96,0.00,"nvcuda.dll",
11,"[nvcuda.dll]","8,533",37,80.96,0.35,"nvcuda.dll",
12,"[nvcuda.dll]","8,496",12,80.61,0.11,"nvcuda.dll",
13,"[nvcuda.dll]","8,484",10,80.49,0.09,"nvcuda.dll",
14,"[nvcuda.dll]","8,474",14,80.40,0.13,"nvcuda.dll",
15,"[nvcuda.dll]","8,460",48,80.27,0.46,"nvcuda.dll",
16,"[nvcuda.dll]","8,412",62,79.81,0.59,"nvcuda.dll",
17,"[nvcuda.dll]","7,153",112,67.87,1.06,"nvcuda.dll",
18,"[nvcuda.dll]","7,041",17,66.80,0.16,"nvcuda.dll",
19,"[nvcuda.dll]","7,024",40,66.64,0.38,"nvcuda.dll",
20,"[win32u.dll]","6,984","6,984",66.26,66.26,"win32u.dll",
17,"[win32u.dll]","1,196","1,196",11.35,11.35,"win32u.dll",
17,"[gdi32.dll]",1,1,0.01,0.01,"gdi32.dll",
5,"cudaMemcpy",222,1,2.11,0.01,"final_project2.exe",
6,"cudart::cudaApiMemcpy",221,0,2.10,0.00,"final_project2.exe",
7,"cudart::cudaApiMemcpy",221,0,2.10,0.00,"final_project2.exe",
8,"cudart::driverHelper::memcpyDispatch",221,0,2.10,0.00,"final_project2.exe",
9,"[nvcuda.dll]",221,0,2.10,0.00,"nvcuda.dll",
10,"[nvcuda.dll]",221,0,2.10,0.00,"nvcuda.dll",
11,"[nvcuda.dll]",221,0,2.10,0.00,"nvcuda.dll",
12,"[nvcuda.dll]",221,1,2.10,0.01,"nvcuda.dll",
13,"[nvcuda.dll]",220,1,2.09,0.01,"nvcuda.dll",
14,"[nvcuda.dll]",219,3,2.08,0.03,"nvcuda.dll",
15,"[nvcuda.dll]",216,2,2.05,0.02,"nvcuda.dll",
16,"[nvcuda.dll]",213,2,2.02,0.02,"nvcuda.dll",
17,"[nvcuda.dll]",210,2,1.99,0.02,"nvcuda.dll",
18,"[nvcuda.dll]",208,1,1.97,0.01,"nvcuda.dll",
19,"[nvcuda.dll]",207,4,1.96,0.04,"nvcuda.dll",
20,"[nvcuda.dll]",202,4,1.92,0.04,"nvcuda.dll",
21,"[nvcuda.dll]",193,6,1.83,0.06,"nvcuda.dll",
22,"[nvcuda.dll]",171,2,1.62,0.02,"nvcuda.dll",
23,"[nvcuda.dll]",169,2,1.60,0.02,"nvcuda.dll",
24,"[nvcuda.dll]",128,0,1.21,0.00,"nvcuda.dll",
25,"[win32u.dll]",128,128,1.21,1.21,"win32u.dll",
24,"[win32u.dll]",39,39,0.37,0.37,"win32u.dll",
22,"[win32u.dll]",16,16,0.15,0.15,"win32u.dll",
21,"[win32u.dll]",5,5,0.05,0.05,"win32u.dll",
20,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
17,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
16,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
5,"cudaMalloc",46,0,0.44,0.00,"final_project2.exe",
6,"cudart::cudaApiMalloc",46,0,0.44,0.00,"final_project2.exe",
7,"cudart::doLazyInitContextState",45,0,0.43,0.00,"final_project2.exe",
8,"cudart::contextStateManager::getRuntimeContextState",45,0,0.43,0.00,"final_project2.exe",
9,"cudart::contextStateManager::initDriverContext",44,0,0.42,0.00,"final_project2.exe",
10,"cudart::contextStateManager::initPrimaryContext",44,0,0.42,0.00,"final_project2.exe",
11,"[nvcuda.dll]",44,0,0.42,0.00,"nvcuda.dll",
12,"[nvcuda.dll]",44,0,0.42,0.00,"nvcuda.dll",
13,"[nvcuda.dll]",44,0,0.42,0.00,"nvcuda.dll",
14,"[nvcuda.dll]",44,0,0.42,0.00,"nvcuda.dll",
15,"[nvcuda.dll]",44,1,0.42,0.01,"nvcuda.dll",
16,"[nvcuda.dll]",43,0,0.41,0.00,"nvcuda.dll",
17,"[nvcuda.dll]",43,0,0.41,0.00,"nvcuda.dll",
18,"[nvcuda.dll]",42,6,0.40,0.06,"nvcuda.dll",
19,"[nvcuda.dll]",35,0,0.33,0.00,"nvcuda.dll",
20,"[nvcuda.dll]",35,1,0.33,0.01,"nvcuda.dll",
21,"[nvcuda.dll]",28,2,0.27,0.02,"nvcuda.dll",
22,"[nvcuda.dll]",23,1,0.22,0.01,"nvcuda.dll",
23,"[nvcuda.dll]",14,2,0.13,0.02,"nvcuda.dll",
24,"[nvcuda.dll]",10,1,0.09,0.01,"nvcuda.dll",
25,"[nvcuda.dll]",6,2,0.06,0.02,"nvcuda.dll",
26,"[nvcuda.dll]",4,0,0.04,0.00,"nvcuda.dll",
27,"[nvcuda.dll]",4,0,0.04,0.00,"nvcuda.dll",
28,"[nvcuda.dll]",4,0,0.04,0.00,"nvcuda.dll",
29,"[gdi32.dll]",2,0,0.02,0.00,"gdi32.dll",
30,"[win32u.dll]",2,2,0.02,0.02,"win32u.dll",
29,"[win32u.dll]",2,2,0.02,0.02,"win32u.dll",
25,"[gdi32.dll]",2,0,0.02,0.00,"gdi32.dll",
26,"[win32u.dll]",2,2,0.02,0.02,"win32u.dll",
25,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
26,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
27,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
28,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
29,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
30,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
31,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
32,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
24,"[gdi32.dll]",2,0,0.02,0.00,"gdi32.dll",
25,"[win32u.dll]",2,2,0.02,0.02,"win32u.dll",
23,"[win32u.dll]",6,6,0.06,0.06,"win32u.dll",
23,"[gdi32.dll]",2,0,0.02,0.00,"gdi32.dll",
24,"[win32u.dll]",2,2,0.02,0.02,"win32u.dll",
22,"[ntdll.dll]",2,0,0.02,0.00,"ntdll.dll",
23,"[ntdll.dll]",2,0,0.02,0.00,"ntdll.dll",
24,"[ntdll.dll]",2,0,0.02,0.00,"ntdll.dll",
25,"[ntdll.dll]",2,0,0.02,0.00,"ntdll.dll",
26,"[ntdll.dll]",2,2,0.02,0.02,"ntdll.dll",
22,"[win32u.dll]",1,1,0.01,0.01,"win32u.dll",
21,"[win32u.dll]",6,6,0.06,0.06,"win32u.dll",
19,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
20,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
21,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
22,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
23,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
18,"[win32u.dll]",1,1,0.01,0.01,"win32u.dll",
9,"cudart::contextStateManager::initRuntimeContextState_nonreentrant",1,0,0.01,0.00,"final_project2.exe",
10,"cudart::contextState::applyChanges",1,0,0.01,0.00,"final_project2.exe",
11,"cudart::globalModule::loadIntoContext",1,0,0.01,0.00,"final_project2.exe",
12,"cudart::contextState::loadCubin",1,0,0.01,0.00,"final_project2.exe",
13,"[nvcuda.dll]",1,0,0.01,0.00,"nvcuda.dll",
14,"[nvcuda.dll]",1,0,0.01,0.00,"nvcuda.dll",
15,"[nvcuda.dll]",1,0,0.01,0.00,"nvcuda.dll",
16,"[nvcuda.dll]",1,0,0.01,0.00,"nvcuda.dll",
17,"[nvcuda.dll]",1,0,0.01,0.00,"nvcuda.dll",
18,"[nvcuda.dll]",1,0,0.01,0.00,"nvcuda.dll",
19,"[nvcuda.dll]",1,0,0.01,0.00,"nvcuda.dll",
20,"[nvcuda.dll]",1,0,0.01,0.00,"nvcuda.dll",
21,"[nvcuda.dll]",1,0,0.01,0.00,"nvcuda.dll",
22,"[nvcuda.dll]",1,0,0.01,0.00,"nvcuda.dll",
23,"[nvcuda.dll]",1,0,0.01,0.00,"nvcuda.dll",
24,"[nvcuda.dll]",1,0,0.01,0.00,"nvcuda.dll",
25,"[nvcuda.dll]",1,0,0.01,0.00,"nvcuda.dll",
26,"[nvcuda.dll]",1,0,0.01,0.00,"nvcuda.dll",
27,"[nvcuda.dll]",1,0,0.01,0.00,"nvcuda.dll",
28,"[KernelBase.dll]",1,0,0.01,0.00,"KernelBase.dll",
29,"[KernelBase.dll]",1,0,0.01,0.00,"KernelBase.dll",
30,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
7,"cudart::driverHelper::mallocPtr",1,0,0.01,0.00,"final_project2.exe",
8,"[nvcuda.dll]",1,0,0.01,0.00,"nvcuda.dll",
9,"[nvcuda.dll]",1,0,0.01,0.00,"nvcuda.dll",
10,"[nvcuda.dll]",1,0,0.01,0.00,"nvcuda.dll",
11,"[nvcuda.dll]",1,0,0.01,0.00,"nvcuda.dll",
12,"[nvcuda.dll]",1,0,0.01,0.00,"nvcuda.dll",
13,"[nvcuda.dll]",1,0,0.01,0.00,"nvcuda.dll",
14,"[nvcuda.dll]",1,0,0.01,0.00,"nvcuda.dll",
15,"[nvcuda.dll]",1,0,0.01,0.00,"nvcuda.dll",
16,"[nvcuda.dll]",1,0,0.01,0.00,"nvcuda.dll",
17,"[nvcuda.dll]",1,0,0.01,0.00,"nvcuda.dll",
18,"[nvcuda.dll]",1,0,0.01,0.00,"nvcuda.dll",
19,"[win32u.dll]",1,1,0.01,0.01,"win32u.dll",
5,"cudaSetDevice",34,0,0.32,0.00,"final_project2.exe",
6,"cudart::globalState::initializeDriver",34,0,0.32,0.00,"final_project2.exe",
7,"cudart::globalState::loadDriver",34,0,0.32,0.00,"final_project2.exe",
8,"cudart::cuosOnce",34,0,0.32,0.00,"final_project2.exe",
9,"cudart::__loadDriverInternalUtil",34,0,0.32,0.00,"final_project2.exe",
10,"cudart::globalState::loadDriverInternal",34,0,0.32,0.00,"final_project2.exe",
11,"[nvcuda.dll]",21,0,0.20,0.00,"nvcuda.dll",
12,"[nvcuda.dll]",21,0,0.20,0.00,"nvcuda.dll",
13,"[nvcuda.dll]",21,0,0.20,0.00,"nvcuda.dll",
14,"[nvcuda.dll]",21,0,0.20,0.00,"nvcuda.dll",
15,"[nvcuda.dll]",21,0,0.20,0.00,"nvcuda.dll",
16,"[nvcuda.dll]",20,0,0.19,0.00,"nvcuda.dll",
17,"[nvcuda.dll]",19,0,0.18,0.00,"nvcuda.dll",
18,"[nvcuda.dll]",16,0,0.15,0.00,"nvcuda.dll",
19,"[nvcuda.dll]",13,0,0.12,0.00,"nvcuda.dll",
20,"[nvcuda.dll]",10,0,0.09,0.00,"nvcuda.dll",
21,"[nvcuda.dll]",6,2,0.06,0.02,"nvcuda.dll",
22,"[win32u.dll]",3,3,0.03,0.03,"win32u.dll",
22,"[nvcuda.dll]",1,0,0.01,0.00,"nvcuda.dll",
23,"[nvcuda.dll]",1,1,0.01,0.01,"nvcuda.dll",
21,"[win32u.dll]",3,3,0.03,0.03,"win32u.dll",
21,"[nvapi64.dll]",1,0,0.01,0.00,"nvapi64.dll",
22,"[nvapi64.dll]",1,0,0.01,0.00,"nvapi64.dll",
23,"[nvapi64.dll]",1,0,0.01,0.00,"nvapi64.dll",
24,"[nvapi64.dll]",1,0,0.01,0.00,"nvapi64.dll",
25,"[nvapi64.dll]",1,0,0.01,0.00,"nvapi64.dll",
26,"[nvapi64.dll]",1,0,0.01,0.00,"nvapi64.dll",
27,"[nvapi64.dll]",1,0,0.01,0.00,"nvapi64.dll",
28,"[nvapi64.dll]",1,0,0.01,0.00,"nvapi64.dll",
29,"[nvapi64.dll]",1,0,0.01,0.00,"nvapi64.dll",
30,"[nvapi64.dll]",1,0,0.01,0.00,"nvapi64.dll",
31,"[nvapi64.dll]",1,0,0.01,0.00,"nvapi64.dll",
32,"[nvapi64.dll]",1,0,0.01,0.00,"nvapi64.dll",
33,"[nvapi64.dll]",1,0,0.01,0.00,"nvapi64.dll",
34,"[nvapi64.dll]",1,0,0.01,0.00,"nvapi64.dll",
35,"[nvapi64.dll]",1,0,0.01,0.00,"nvapi64.dll",
36,"[user32.dll]",1,0,0.01,0.00,"user32.dll",
37,"[win32u.dll]",1,1,0.01,0.01,"win32u.dll",
20,"[KernelBase.dll]",3,0,0.03,0.00,"KernelBase.dll",
21,"[ntdll.dll]",3,0,0.03,0.00,"ntdll.dll",
22,"[ntdll.dll]",3,0,0.03,0.00,"ntdll.dll",
23,"[ntdll.dll]",3,0,0.03,0.00,"ntdll.dll",
24,"[ntdll.dll]",3,0,0.03,0.00,"ntdll.dll",
25,"[ntdll.dll]",3,0,0.03,0.00,"ntdll.dll",
26,"[ntdll.dll]",3,0,0.03,0.00,"ntdll.dll",
27,"[ntdll.dll]",3,0,0.03,0.00,"ntdll.dll",
28,"[ntdll.dll]",2,0,0.02,0.00,"ntdll.dll",
29,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
30,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
31,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
32,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
33,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
29,"[dxgi.dll]",1,0,0.01,0.00,"dxgi.dll",
30,"[dxgi.dll]",1,0,0.01,0.00,"dxgi.dll",
31,"[dxgi.dll]",1,0,0.01,0.00,"dxgi.dll",
32,"[dxgi.dll]",1,0,0.01,0.00,"dxgi.dll",
33,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
34,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
35,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
36,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
28,"[nvapi64.dll]",1,0,0.01,0.00,"nvapi64.dll",
29,"[nvapi64.dll]",1,0,0.01,0.00,"nvapi64.dll",
30,"[nvapi64.dll]",1,0,0.01,0.00,"nvapi64.dll",
31,"[nvapi64.dll]",1,0,0.01,0.00,"nvapi64.dll",
32,"[nvapi64.dll]",1,1,0.01,0.01,"nvapi64.dll",
19,"[nvapi64.dll]",3,0,0.03,0.00,"nvapi64.dll",
20,"[nvapi64.dll]",3,0,0.03,0.00,"nvapi64.dll",
21,"[nvapi64.dll]",3,0,0.03,0.00,"nvapi64.dll",
22,"[nvapi64.dll]",3,0,0.03,0.00,"nvapi64.dll",
23,"[nvapi64.dll]",3,0,0.03,0.00,"nvapi64.dll",
24,"[nvapi64.dll]",2,0,0.02,0.00,"nvapi64.dll",
25,"[user32.dll]",1,0,0.01,0.00,"user32.dll",
26,"[win32u.dll]",1,1,0.01,0.01,"win32u.dll",
25,"[nvapi64.dll]",1,0,0.01,0.00,"nvapi64.dll",
26,"[nvapi64.dll]",1,0,0.01,0.00,"nvapi64.dll",
27,"[user32.dll]",1,0,0.01,0.00,"user32.dll",
28,"[win32u.dll]",1,1,0.01,0.01,"win32u.dll",
24,"[KernelBase.dll]",1,0,0.01,0.00,"KernelBase.dll",
25,"[KernelBase.dll]",1,0,0.01,0.00,"KernelBase.dll",
26,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
18,"[kernel32.dll]",1,0,0.01,0.00,"kernel32.dll",
19,"[KernelBase.dll]",1,0,0.01,0.00,"KernelBase.dll",
20,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
18,"[KernelBase.dll]",1,0,0.01,0.00,"KernelBase.dll",
19,"[KernelBase.dll]",1,0,0.01,0.00,"KernelBase.dll",
20,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
18,"[win32u.dll]",1,1,0.01,0.01,"win32u.dll",
17,"[dwmapi.dll]",1,0,0.01,0.00,"dwmapi.dll",
18,"[user32.dll]",1,0,0.01,0.00,"user32.dll",
19,"[win32u.dll]",1,0,0.01,0.00,"win32u.dll",
20,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
21,"[user32.dll]",1,0,0.01,0.00,"user32.dll",
22,"[KernelBase.dll]",1,0,0.01,0.00,"KernelBase.dll",
23,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
24,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
25,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
26,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
27,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
28,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
29,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
30,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
31,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
16,"[KernelBase.dll]",1,0,0.01,0.00,"KernelBase.dll",
17,"[KernelBase.dll]",1,0,0.01,0.00,"KernelBase.dll",
18,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
19,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
20,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
21,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
22,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
23,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
24,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
25,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
26,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
11,"nvLoadSystemLibraryExA",13,0,0.12,0.00,"final_project2.exe",
12,"nvLoadSystemLibraryExW",13,0,0.12,0.00,"final_project2.exe",
13,"nvDetectDisplayDriverModuleLocationW",7,0,0.07,0.00,"final_project2.exe",
14,"nvDetectDisplayDriverModuleRegistrationW",7,0,0.07,0.00,"final_project2.exe",
15,"nvGetDriverRegkeyW",5,0,0.05,0.00,"final_project2.exe",
16,"[setupapi.dll]",3,0,0.03,0.00,"setupapi.dll",
17,"[setupapi.dll]",3,0,0.03,0.00,"setupapi.dll",
18,"[setupapi.dll]",2,0,0.02,0.00,"setupapi.dll",
19,"[setupapi.dll]",2,0,0.02,0.00,"setupapi.dll",
20,"[ntdll.dll]",2,0,0.02,0.00,"ntdll.dll",
21,"[ntdll.dll]",2,0,0.02,0.00,"ntdll.dll",
22,"[ntdll.dll]",2,0,0.02,0.00,"ntdll.dll",
23,"[ntdll.dll]",2,0,0.02,0.00,"ntdll.dll",
24,"[ntdll.dll]",2,0,0.02,0.00,"ntdll.dll",
25,"[ntdll.dll]",2,0,0.02,0.00,"ntdll.dll",
26,"[ntdll.dll]",2,0,0.02,0.00,"ntdll.dll",
27,"[ntdll.dll]",2,0,0.02,0.00,"ntdll.dll",
28,"[ntdll.dll]",2,0,0.02,0.00,"ntdll.dll",
29,"[ntdll.dll]",2,0,0.02,0.00,"ntdll.dll",
30,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
31,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
32,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
33,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
30,"[crypt32.dll]",1,0,0.01,0.00,"crypt32.dll",
31,"[crypt32.dll]",1,0,0.01,0.00,"crypt32.dll",
32,"[crypt32.dll]",1,0,0.01,0.00,"crypt32.dll",
33,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
34,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
35,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
36,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
18,"[devobj.dll]",1,0,0.01,0.00,"devobj.dll",
19,"[devobj.dll]",1,0,0.01,0.00,"devobj.dll",
20,"[cfgmgr32.dll]",1,0,0.01,0.00,"cfgmgr32.dll",
21,"[cfgmgr32.dll]",1,0,0.01,0.00,"cfgmgr32.dll",
22,"[cfgmgr32.dll]",1,0,0.01,0.00,"cfgmgr32.dll",
23,"[kernel32.dll]",1,0,0.01,0.00,"kernel32.dll",
24,"[KernelBase.dll]",1,0,0.01,0.00,"KernelBase.dll",
25,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
16,"[KernelBase.dll]",2,0,0.02,0.00,"KernelBase.dll",
17,"[ntdll.dll]",2,0,0.02,0.00,"ntdll.dll",
18,"[ntdll.dll]",2,0,0.02,0.00,"ntdll.dll",
19,"[ntdll.dll]",2,0,0.02,0.00,"ntdll.dll",
20,"[ntdll.dll]",2,0,0.02,0.00,"ntdll.dll",
21,"[ntdll.dll]",2,0,0.02,0.00,"ntdll.dll",
22,"[ntdll.dll]",2,0,0.02,0.00,"ntdll.dll",
23,"[ntdll.dll]",2,0,0.02,0.00,"ntdll.dll",
24,"[ntdll.dll]",2,1,0.02,0.01,"ntdll.dll",
25,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
26,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
27,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
28,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
15,"`anonymous namespace'::etiGetApiFunctionDescriptorTable",2,0,0.02,0.00,"final_project2.exe",
16,"[KernelBase.dll]",2,0,0.02,0.00,"KernelBase.dll",
17,"[ntdll.dll]",2,0,0.02,0.00,"ntdll.dll",
18,"[ntdll.dll]",2,0,0.02,0.00,"ntdll.dll",
19,"[ntdll.dll]",2,0,0.02,0.00,"ntdll.dll",
20,"[ntdll.dll]",2,0,0.02,0.00,"ntdll.dll",
21,"[ntdll.dll]",2,0,0.02,0.00,"ntdll.dll",
22,"[ntdll.dll]",2,0,0.02,0.00,"ntdll.dll",
23,"[ntdll.dll]",2,0,0.02,0.00,"ntdll.dll",
24,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
25,"[msvcp_win.dll]",1,0,0.01,0.00,"msvcp_win.dll",
26,"[msvcp_win.dll]",1,0,0.01,0.00,"msvcp_win.dll",
27,"[ucrtbase.dll]",1,0,0.01,0.00,"ucrtbase.dll",
28,"[msvcp_win.dll]",1,0,0.01,0.00,"msvcp_win.dll",
29,"[msvcp_win.dll]",1,0,0.01,0.00,"msvcp_win.dll",
30,"[ucrtbase.dll]",1,0,0.01,0.00,"ucrtbase.dll",
31,"[ucrtbase.dll]",1,0,0.01,0.00,"ucrtbase.dll",
32,"[ucrtbase.dll]",1,0,0.01,0.00,"ucrtbase.dll",
33,"[ucrtbase.dll]",1,1,0.01,0.01,"ucrtbase.dll",
24,"[user32.dll]",1,0,0.01,0.00,"user32.dll",
25,"[user32.dll]",1,0,0.01,0.00,"user32.dll",
26,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
27,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
28,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
13,"nvLoadLibraryFromTrustedLocationExW",5,0,0.05,0.00,"final_project2.exe",
14,"`anonymous namespace'::etiGetApiFunctionDescriptorTable",5,0,0.05,0.00,"final_project2.exe",
15,"`anonymous namespace'::etiGetApiFunctionDescriptorTable",5,0,0.05,0.00,"final_project2.exe",
16,"[KernelBase.dll]",4,0,0.04,0.00,"KernelBase.dll",
17,"[ntdll.dll]",4,0,0.04,0.00,"ntdll.dll",
18,"[ntdll.dll]",4,0,0.04,0.00,"ntdll.dll",
19,"[ntdll.dll]",4,0,0.04,0.00,"ntdll.dll",
20,"[ntdll.dll]",4,0,0.04,0.00,"ntdll.dll",
21,"[ntdll.dll]",4,0,0.04,0.00,"ntdll.dll",
22,"[ntdll.dll]",4,0,0.04,0.00,"ntdll.dll",
23,"[ntdll.dll]",4,0,0.04,0.00,"ntdll.dll",
24,"[ntdll.dll]",4,1,0.04,0.01,"ntdll.dll",
25,"[ntdll.dll]",2,0,0.02,0.00,"ntdll.dll",
26,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
27,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
28,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
29,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
30,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
31,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
32,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
33,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
34,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
35,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
26,"[combase.dll]",1,0,0.01,0.00,"combase.dll",
27,"[combase.dll]",1,0,0.01,0.00,"combase.dll",
28,"[ucrtbase.dll]",1,0,0.01,0.00,"ucrtbase.dll",
29,"[combase.dll]",1,0,0.01,0.00,"combase.dll",
30,"[combase.dll]",1,1,0.01,0.01,"combase.dll",
25,"[windows.storage.dll]",1,0,0.01,0.00,"windows.storage.dll",
26,"[windows.storage.dll]",1,0,0.01,0.00,"windows.storage.dll",
27,"[ucrtbase.dll]",1,0,0.01,0.00,"ucrtbase.dll",
28,"[windows.storage.dll]",1,0,0.01,0.00,"windows.storage.dll",
29,"[KernelBase.dll]",1,0,0.01,0.00,"KernelBase.dll",
30,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
31,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
32,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
33,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
34,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
35,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
16,"[windows.storage.dll]",1,0,0.01,0.00,"windows.storage.dll",
17,"[windows.storage.dll]",1,0,0.01,0.00,"windows.storage.dll",
18,"[windows.storage.dll]",1,0,0.01,0.00,"windows.storage.dll",
19,"[KernelBase.dll]",1,0,0.01,0.00,"KernelBase.dll",
20,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
13,"`anonymous namespace'::etiGetApiFunctionDescriptorTable",1,0,0.01,0.00,"final_project2.exe",
14,"`anonymous namespace'::etiGetApiFunctionDescriptorTable",1,0,0.01,0.00,"final_project2.exe",
15,"[KernelBase.dll]",1,0,0.01,0.00,"KernelBase.dll",
16,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
17,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
18,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
19,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
20,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
21,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
